Volume ( ^3),Surface ( ^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. ( ),SD dist. to surf. ( ),Median dist. to surf. ( ),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1,6,1,1,255,255,0,255,255,255,402.000,264.000,2.000,0.000,0.000,0.000,402.000,264.000,2.000,402,264,2,1,1,1
1,6,1,1,255,255,0,255,255,255,432.000,269.000,2.000,0.000,0.000,0.000,432.000,269.000,2.000,432,269,2,1,1,1
36,168,36,36,9180,255,0,255,255,255,437.167,275.528,4.861,2.873,1.160,2.806,437.167,275.528,4.861,434,272,2,9,8,7
1,6,1,1,255,255,0,255,255,255,422.000,279.000,2.000,0.000,0.000,0.000,422.000,279.000,2.000,422,279,2,1,1,1
2,10,2,2,510,255,0,255,255,255,402.000,286.000,2.500,0.500,0.000,0.500,402.000,286.000,2.500,402,286,2,1,1,2
1,6,1,1,255,255,0,255,255,255,404.000,296.000,2.000,0.000,0.000,0.000,404.000,296.000,2.000,404,296,2,1,1,1
1,6,1,1,255,255,0,255,255,255,402.000,299.000,2.000,0.000,0.000,0.000,402.000,299.000,2.000,402,299,2,1,1,1
1,6,1,1,255,255,0,255,255,255,498.000,243.000,3.000,0.000,0.000,0.000,498.000,243.000,3.000,498,243,3,1,1,1
1,6,1,1,255,255,0,255,255,255,497.000,246.000,3.000,0.000,0.000,0.000,497.000,246.000,3.000,497,246,3,1,1,1
3,16,3,3,765,255,0,255,255,255,491.333,247.333,3.667,0.798,0.212,0.816,491.333,247.333,3.667,491,247,3,2,2,2
1,6,1,1,255,255,0,255,255,255,494.000,247.000,3.000,0.000,0.000,0.000,494.000,247.000,3.000,494,247,3,1,1,1
1,6,1,1,255,255,0,255,255,255,494.000,250.000,3.000,0.000,0.000,0.000,494.000,250.000,3.000,494,250,3,1,1,1
2,10,2,2,510,255,0,255,255,255,414.000,254.000,3.500,0.500,0.000,0.500,414.000,254.000,3.500,414,254,3,1,1,2
