Volume ( ^3),Surface ( ^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. ( ),SD dist. to surf. ( ),Median dist. to surf. ( ),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
55,158,55,55,14025,255,0,255,255,255,347.000,345.636,10.655,2.968,1.311,2.720,347.000,345.636,10.655,343,342,8,9,8,6
90,174,90,74,22950,255,0,255,255,255,491.811,221.044,10.522,2.549,0.724,2.483,491.811,221.044,10.522,489,217,9,7,9,4
78,136,78,61,19890,255,0,255,255,255,362.231,312.705,10.333,2.312,0.528,2.363,362.231,312.705,10.333,360,310,9,6,6,4
66,120,66,53,16830,255,0,255,255,255,486.379,230.303,10.833,2.170,0.561,2.193,486.379,230.303,10.833,484,228,10,6,6,3
91,150,91,68,23205,255,0,255,255,255,476.451,233.714,12.604,2.424,0.471,2.399,476.451,233.714,12.604,474,231,11,6,7,5
117,186,117,82,29835,255,0,255,255,255,407.171,258.162,12.487,2.670,0.559,2.647,407.171,258.162,12.487,404,255,11,8,7,5
63,130,63,60,16065,255,0,255,255,255,420.381,274.175,11.587,2.245,0.798,2.317,420.381,274.175,11.587,417,272,11,8,6,3
57,118,57,49,14535,255,0,255,255,255,358.544,286.526,12.351,2.129,0.636,2.089,358.544,286.526,12.351,357,284,11,4,7,4
169,246,169,117,43095,255,0,255,255,255,391.237,290.107,12.917,3.187,0.801,3.148,391.237,290.107,12.917,386,287,11,10,8,5
204,304,204,145,52020,255,0,255,255,255,384.936,298.775,14.191,3.597,1.133,3.436,384.936,298.775,14.191,381,294,11,10,11,7
73,156,73,64,18615,255,0,255,255,255,355.493,330.795,12.384,2.381,0.757,2.531,355.493,330.795,12.384,352,328,11,8,7,4
108,210,108,86,27540,255,0,255,255,255,372.519,335.880,12.796,2.859,0.930,2.762,372.519,335.880,12.796,369,333,11,9,7,5
95,162,95,79,24225,255,0,255,255,255,357.505,339.726,11.916,2.572,0.752,2.681,357.505,339.726,11.916,354,337,11,8,7,3
47,112,47,40,11985,255,0,255,255,255,361.596,349.404,11.936,2.046,0.618,1.984,361.596,349.404,11.936,359,347,11,6,6,3
79,160,79,70,20145,255,0,255,255,255,339.494,359.051,12.633,2.486,0.856,2.550,339.494,359.051,12.633,337,355,11,6,9,4
63,140,63,58,16065,255,0,255,255,255,331.651,369.873,12.683,2.355,0.865,2.222,331.651,369.873,12.683,328,367,11,8,7,4
90,184,90,79,22950,255,0,255,255,255,321.600,377.833,12.222,2.787,1.048,2.723,321.600,377.833,12.222,319,374,11,8,9,4
69,128,69,54,17595,255,0,255,255,255,423.464,195.464,13.029,2.227,0.598,2.323,423.464,195.464,13.029,421,193,12,6,6,3
79,164,79,68,20145,255,0,255,255,255,466.063,247.595,12.823,2.581,0.976,2.429,466.063,247.595,12.823,464,243,12,6,9,3
